Severity_pct,Detected,AlarmTime_s,Latency_s,PeakRMS_A
10,1,8.0859,0.0859000000000005,4.05329593266083
25,1,8.0544,0.0544000000000011,4.48275862065993
50,1,8.039,0.0389999999999997,5.1677852348693
75,1,8.0323,0.0323000000000011,5.81699346402939
100,1,8.0283,0.0282999999999998,6.43312101909284
150,1,8.0235,0.0235000000000003,7.57575757575072
200,1,8.0207,0.0206999999999997,8.61271676300189
250,1,8.0188,0.0188000000000006,9.55801104972119
300,1,8.0174,0.0174000000000003,10.4232804232778
